Pic Id,Date,Victim Name,Zipcode,State,Valid DL,DL Number,Full Address
13379,19-02-2022,1,77287-0023,TX,1,1,0
13385,19-02-2022,NA,77042-2752,TX,1,1,1
13501,23-02-2022,1,04648,ME,1,1,1
1478,26-02-2022,1,92410,CA,1,1,0
1524,26-02-2022,1,75225,TX,1,1,1
1530,26-02-2022,1,,,0,0,0
1792,28-02-2022,1,37764,TN,0,1,1
183717,16-02-2022,NA,,,1,0,0
19630,20-02-2022,NA,11219,NY,1,1,1
19631,20-02-2022,1,33584,FL,1,1,1
19647,20-02-2022,NA,11572,NY,1,1,1
197620,26-02-2022,1,92410,CA,1,1,0
199458,27-02-2022,1,,TX,0,0,0
20872,01-02-2022,1,91342,CA,1,1,1
20873,01-02-2022,1,95758,CA,1,1,1
20874,01-02-2022,1,47610,IN,1,1,1
20875,01-02-2022,NA,,IN,0,1,0
20955,01-02-2022,1,85756-6154,AZ,1,1,1
20966,01-02-2022,1,85756-6154,AZ,1,1,1
21588,04-02-2022,NA,10459,NY,1,1,0
219498,01-02-2022,1,92410,CA,1,1,0
221134,02-02-2022,1,,AZ,1,1,0
22695,09-02-2022,1,,,0,0,0
22696,09-02-2022,NA,,,0,1,0
22697,09-02-2022,1,,NY,0,1,0
22743,09-02-2022,1,,GA,1,1,0
22758,09-02-2022,1,85710,AZ,1,1,1
22948,10-02-2022,1,84111,UT,1,1,1
23324,12-02-2022,NA,,,0,1,0
23325,12-02-2022,1,,,1,1,0
23345,12-02-2022,NA,77042-2752,TX,1,1,1
24076,16-02-2022,NA,20814,MD,0,0,1
24077,16-02-2022,NA,35035,AL,0,1,1
24107,16-02-2022,1,11691,NY,0,1,1
24108,16-02-2022,1,,,1,1,0
24109,16-02-2022,1,,,0,0,0
24120,16-02-2022,1,11691,NY,0,1,1
24121,16-02-2022,1,,,1,1,0
24122,16-02-2022,1,,,0,0,0
24394,18-02-2022,1,,CA,0,1,0
24394,18-02-2022,1,,CA,0,1,0
24455,18-02-2022,1,,,1,1,0
244881,16-02-2022,1,,IN,1,1,0
24819,21-02-2022,NA,95818,CA,0,1,0
249509,19-02-2022,1,,GA,0,1,0
24990,22-02-2022,1,10308,NY,1,1,1
25331,23-02-2022,1,34983,FL,1,1,1
25332,23-02-2022,NA,,,0,1,0
25520,24-02-2022,1,77396,TX,1,1,1
25683,25-02-2022,1,24245-2678,VA,0,1,1
25755,25-02-2022,1,11229,NY,1,1,1
25757,25-02-2022,1,18509,PA,1,1,1
25894,26-02-2022,1,93257,CA,1,1,0
25896,26-02-2022,1,,CA,1,1,1
25906,26-02-2022,1,,,0,1,1
25907,26-02-2022,1,,,0,0,0
25973,26-02-2022,1,,ID,1,0,0
25973,26-02-2022,1,,IN,1,0,0
26068,27-02-2022,1,89711,NV,1,1,0
26069,27-02-2022,1,77005,TX,1,1,1
26155,27-02-2022,1,,AZ,1,1,0
26156,27-02-2022,1,,AZ,1,1,0
26168,28-02-2022,NA,,,0,1,0
26169,28-02-2022,1,11803,NY,0,0,0
26297,28-02-2022,1,92127,CA,1,1,1
26298,28-02-2022,1,91767,CA,1,1,0
3466,19-02-2022,1,,GA,0,1,0
3693,25-02-2022,1,93704,CA,0,0,0
6056,26-02-2022,1,,FL,0,0,0
6057,26-02-2022,1,,CA,0,1,0
6968,03-02-2022,NA,,CA,0,0,0
6968,03-02-2022,NA,,CA,0,0,0
6968,03-02-2022,NA,,CA,0,0,0
6986,04-02-2022,1,75225,TX,1,1,1
7162,05-02-2022,1,,FL,1,1,0
7163,05-02-2022,1,92127,CA,1,1,1
7165,05-02-2022,1,,NY,0,1,0
7500,11-02-2022,1,75407,TX,1,1,1
7528,11-02-2022,1,,IN,0,1,0
7529,11-02-2022,1,35490-2307,AL,0,1,1
8247,02-02-2022,1,79403,TX,1,1,0
